	Original	Rarefied	Normalized
a	3.3305415884729337	3.326705431397616	3.3303939295717266
b	2.9084367830318234	2.906933981128372	2.9083193693634306
c	3.290861909727191	3.2923767997671898	3.290799395714594
d	2.954208120314712	2.955665310780579	2.9541610943572314
e	3.400395691340577	3.400899105950608	3.4003237189479063
f	3.485266443851107	3.4823673163443907	3.485195882705815
g	2.922368380241202	2.9183188411830328	2.922280456008023
h	3.070922202499162	3.067912764710498	3.0708293090008483
i	3.176883346109935	3.1789423287059875	3.1768120268722244
j	3.271976481615972	3.2726941236984275	3.2718366474686906
k	3.186832550437228	3.1928408959154773	3.1867814623424757
l	3.231285224215246	3.229902843669853	3.231222185541146
m	2.7253595897440563	2.7250966434185386	2.7253088957409237
n	3.3153973749658823	3.3106981437899043	3.315353637891786
o	3.1449156771706512	3.1425389917395306	3.1448481894579814
p	3.227134950776596	3.223961741769341	3.22699088856059
q	2.637920257832104	2.6393767728978617	2.637892038928857
r	3.1092956076869207	3.1079508695727647	3.109218143057111
s	3.219862477305689	3.222060007933514	3.2197034819264356
t	3.3232945612826206	3.3253327371926473	3.323173910829224
u	3.468685785574703	3.472203272562163	3.468685785574703
v	3.4167277530429576	3.4203986671974054	3.416682093734181
w	3.136082134365859	3.1380836073388787	3.1360448707528814
x	3.1413210991531315	3.137922376906824	3.1412654449820194
y	3.0203402686311063	3.019030108523826	3.020285089214492
z	3.097539522135781	3.096235437943802	3.0974727362364916
